Country Name,Dependent variable Crime Rate,"2022  GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (national estimate)",Urban land area (sq. km),Population density (people per sq. km of land area 2021),Individuals using the Internet (% of population)2022,"Primary completion rate, total (% of relevant age group 2021)",Sex ratio at birth (male births per female births) 2022,rate*(guns per 100 people,globalpeace index (1-5)
Afghanistan,78.6,2092.87995,14.1,3993.83611,61.4805544,18.4,67.5,1.052,12.5,3.294
Albania,45.7,19492.7831,11.59,827.693957,102.615547,82.6137,98.223259,1.072,11.2,1.809
Angola,65.4,7928.6415,14.69,2991.34699,27.6760841,39.2935,58,1.027,70,2.043
Argentina,64.3,29037.4891,6.805,11432.7306,16.7387417,88.3754,105.47953,1.051,16.7,1.855
Armenia,22,20445.0989,8.61,922.335027,98.032104,77.0277,100.631844,1.091,7.4,2.052
Australia,45.5,65365.9485,3.728,11945.986,3.33922845,94.8762,100,1.056,6.1,1.536
Austria,27.3,70975.7206,4.992,2973.71201,108.528805,93.6141,99.8165131,1.055,14.5,1.313
Azerbaijan,31.8,22533.4941,5.65,2589.85887,122.658802,88,96.5635529,1.122,30,2.248
"Bahamas, The",62.4,33637.5048,9.87,203.744243,40.7498501,94.4117,76.46,1.028,3.6,2.945
Bahrain,24,60652.8505,1.33,330.291737,1852.23418,100,92.94,1.039,12.7,2.072
Bangladesh,62.6,8354.71587,4.593,56970.0207,1301.03903,41.6152,120.083,1.05,0.4,2.126
Barbados,47.9,17892.1893,8.49,187.588081,653.953488,76.2053,100.244202,1.035,8.4,1.629
Belarus,56.4,28406.0661,3.574,2882.60449,45.8368317,89.5073,93.5405121,1.058,12.8,2.291
Belgium,49.1,68274.2006,5.57,7730.87924,382.635238,94.0078,100,1.048,18.8,1.51
Belize,53.1,13280.5984,8.72,122.899863,17.5375274,70.354,112.92659,1.052,31.2,3.452
Bolivia,60.8,10238.8121,3.552,1767.51904,11.1506249,73.2831,96.54,1.042,6.1,2.009
Bosnia and Herzegovina,42.9,20998.5226,12.657,1641.92771,63.8856055,78.8455,88.8229523,1.068,10,1.961
Botswana,53.7,18516.1913,23.615,804.345994,4.56729483,77.3272,95,1.032,2,1.863
Brazil,66.6,19398.5898,9.231,45853.3396,25.6428132,80.5278,95,1.045,8.3,2.589
Brunei Darussalam,29,82893.4043,5.191,199.172369,84.5110057,98.9704,100,1.077,3.5,2.147
Bulgaria,38,35463.555,4.268,2109.34419,63.3543018,79.1269,89.520813,1.06,1.4,1.629
Cameroon,64.8,5122.64439,3.69,2352.11104,57.5376616,43.8629,68.7343216,1.03,4.1,2.773
Canada,44.3,62041.562,5.28,13983.1143,4.3510262,94,100,1.054,34.7,1.449
Chile,58.1,31586.1369,8.249,3579.67036,26.2170075,90.6769,99.2180786,1.042,27.6,1.978
China,26.3,22499.4427,4.98,522345.185,150.439754,75.6113,95,1.113,12.1,2.101
Colombia,60.2,21055.663,10.547,5114.55845,46.4322325,72.7964,99.1944733,1.045,3.6,2.887
Costa Rica,53.8,26181.142,11.325,1475.94358,100.939228,82.598,99.0802307,1.045,2.1,1.95
Croatia,24.6,42399.1223,6.96,1648.41307,69.31703,82.0716,94.2081528,1.06,10.1,1.504
Cuba,31.6,"56,495.85",1.25,3053.18468,108.44289,73.2178,96.634758,1.072,10,2.16
Cyprus,31.4,53776.3086,6.807,518.980377,134.652381,89.601,99.9796371,1.065,2.1,2.101
Czechia,26.6,51701.9491,2.224,4023.39931,136.108349,84.5401,98.3559036,1.053,34,1.459
Denmark,26.6,77953.6787,4.434,2235.48654,146.418325,97.8601,99.676033,1.057,12.5,1.382
Dominican Republic,61.2,24363.8934,5.504,2504.48636,233.907829,84.3832,87.7265167,1.044,19.6,2.157
Ecuador,59.4,15117.2706,3.761,2293.84547,71.6610445,69.7181,95.6902466,1.047,9.9,2.572
"Egypt, Arab Rep.",47.2,17769.2237,7.344,18917.9612,109.761593,72.1981,97.4728699,1.054,7.4,2.212
El Salvador,64.4,11743.4373,2.999,1559.87461,304.73779,62.8885,86,1.048,2.4,2.25
Estonia,25.1,47941.6791,5.571,449.972328,31.1329123,91.5202,98.2262268,1.061,4.1,1.615
Ethiopia,50.9,2888.73649,3.49,5760.66471,106.579912,19.3781,64.8779984,1.055,7.5,2.845
Fiji,57,13534.1943,4.48,117.256781,50.6081007,85.2199,112.401001,1.071,5,1.956
Finland,26.8,62599.0056,6.719,2242.65944,18.2301659,92.9888,99.2806778,1.052,0.4,1.474
France,55.3,57594.034,7.308,23030.6609,123.757534,85.3333,100,1.049,32.4,2.088
Georgia,25.9,22442.7867,11.66,1130.16341,64.8834809,78.7113,88.795433,1.067,0.5,2.195
